Institution Name,Location,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Overall
Northeastern University,US,19.4,9.5,19.1,24.2,60.2,94.3,33.2,35.4,87.3,29.5
Tufts University,US,18.1,5.3,56.2,42.9,25.2,36.2,18.9,47.7,50.9,29.4
University of Hawaiʻi at Mānoa,US,16.1,8.5,36.8,48.6,53,12.9,53.7,10.7,47.5,28.4
"Stony Brook University, State University of New York",US,18.9,7.6,30.4,31.8,45.2,51,34.4,18.5,88.8,28.1
Iowa State University,US,20,13.5,8.4,58.7,4.6,11.1,50.9,27.2,51.8,27.9
"University of California, Riverside",US,17.5,7,6.7,59.9,63,9.1,45.1,10,46.6,27.6
Colorado State University,US,18.8,18.2,56.8,20.3,12.3,4.2,54.9,15,97.7,27.3
University of Kansas,US,15.1,13.3,83.6,9,72.6,7.8,35.7,23.5,71.8,27.2
Washington State University,US,24.4,17.9,16.2,35.4,50,5.5,46.5,11.1,49.7,26.8
University of Utah,US,15.9,6,53,36.5,25.3,10.1,54.4,14.9,49,25.9
University of Connecticut,US,15.1,6.9,14.5,41.6,47,19,61.4,21.7,61.9,25.8
"The University of Tennessee, Knoxville",US,10.3,15.4,10.8,72.5,4.2,2.5,45.2,11.9,30.7,25.7
Florida State University,US,25.1,25.7,6.8,30.7,15.6,3.9,40.1,20.5,54.3,24.9
Colorado School of Mines,US,7.2,9.6,19.7,70.8,29.6,9,2.3,17.4,42,24.7
Illinois Institute of Technology,US,14.2,15.6,13,48.5,30.1,94.1,1.5,13.6,2.5,24.6
Missouri University of Science and Technology,US,4.6,4.8,6.5,85.1,61.1,12.3,2.1,9.6,1.6,24
University at Buffalo SUNY,US,18,8.3,7.8,37.2,42.8,33.3,23.3,24.6,50.6,23.5
University of Iowa,US,19.9,11.2,48.2,20.9,22.3,4.6,51.3,22.1,38.4,23.5
Rensselaer Polytechnic Institute,US,8.3,7,19.5,70.7,4,44.3,1.6,24.1,2.7,23.4
University of Delaware,US,10.3,7.9,6.9,59.1,36.3,13.7,28.2,19.8,31.8,23.2
Oregon State University,US,15.7,4.6,18.9,41.1,17,9.6,58.2,14.1,53.1,23
The University of Georgia,US,20.9,18.2,9.7,29.7,9.7,4.5,59.1,17.7,46.6,22.7
University of Texas Dallas,US,13.3,11.6,3.8,54.5,5.4,35.5,23.8,8.4,41.1,22.6
City University of New York,US,22.7,34.1,9.4,5.8,6.6,4.9,89,19.3,31.3,21.5
Lehigh University,US,5.8,4.2,26.2,38.4,62.4,29.6,9.1,28.3,47.5,21.4
University of Nebraska - Lincoln,US,10.8,5.9,18.8,33.7,30.4,8.2,42.6,12.2,79.1,21.3
Florida International University,US,14.9,35.4,12,12.8,21.1,12.1,68.1,14.2,39,21.1
University of South Florida,US,13.2,10.2,7.9,36.6,30.7,13.8,57.8,10.6,34.9,20.9
University of South Carolina,US,14.7,11.8,8.9,33.6,37.8,3.5,40.8,17.1,39.6,20.6
"University of Missouri, Columbia",US,14.2,9.6,40.2,17.4,56.4,3.3,23.9,24.2,35.5,20.2
University of Central Florida,US,14.4,37.1,2.8,25.7,17.1,4.5,32.1,11.1,32.7,20
Tulane University,US,9.6,5,81.5,10.4,16.9,14.5,45.5,22.7,21.4,19.8
Drexel University,US,8.4,6.1,21.1,35.1,32.8,22.3,28.4,26,34.6,-
